"","local","X1","X2","X3","X4","X5","X6","X7","τPSII","τPQ","ETR","NPQ","FvFm","P","S","SymLipids","SymProtein","SymCarbs","Volume","Photo","Chla","PRratio","Density","PROT","CARB","PhotoChla"
"36","C15c.4","C","Nikko","Porites-cylindrica","C15c","10","4","NPC4-4",19373,1168,257062.8065,0.625596944,0.508,0.05,172,0.000398650556871383,0.000807788228638361,0.000700215952881945,477.5313298,1.17491798232198e-09,1.12644925350546,2.102771785,1.16260381066741,527.566666818173,1.31969028226206,0.1043027884892
"37","C15c.5","C","Nikko","Porites-cylindrica","C15c","10","5","NPC5-4",19260,1393,343588.818,0.562162162,0.506,0.05,170,0.000243764490494801,0.00113869454125735,0.000565708135648568,508.7065978,1.6650810006137e-09,1.92153358973114,2.199662614,1.17564662299913,597.685468869537,0.557020464926404,0.0866537545589656
"38","C15c.6","C","Nikko","Porites-cylindrica","C15c","10","6","NPC6-4",20659,1001,338471.63,0.402173913,0.494,0.06,166,0.000323733333342138,0.00111221646344489,0.000683090057186446,555.9566122,2.30268345318364e-09,0.253394011832465,2.471311387,1.15783909915861,806.843315828783,0.735403499102595,0.908736333795486
"39","C15c.7","C","Nikko","Porites-cylindrica","C15c","10","7","NPC7-4",24216,1478,138435.1135,0.982989064,0.504,0.04,181,0.000287353255583321,0.000883453009540427,0.000368986319191822,389.2205183,8.51607817807779e-10,1.81466787385172,2.914237358,1.45727622225946,871.947708507723,0.936113636640556,0.0469291284691232
"40","C15c.8","C","Nikko","Porites-cylindrica","C15c","10","8","NPC8-4",20760,1754,173268.853,0.942583732,0.509,0.05,176,0.000421390897891978,0.00103723113596504,0.000642410603768441,455.398056,2.09426121605327e-09,0.32236609157863,2.153877503,0.989972064837224,630.108695498756,1.84718682146329,0.649653071697972
"41","C15e.1","C","Offshore","Porites-cylindrica","C15e","10","1","OPC1-4",19513,1193,129620.974,0.921993499,0.566,0.04,204,0.000651743583720355,0.00154036566762249,0.00142051252172358,425.5184521,1.09645330476913e-09,4.44611631002184,3.296762559,0.770349258632502,4614.54006619133,3.92992622983552,0.024660922664071
"42","C15d.2","C","Offshore","Porites-cylindrica","C15d","10","2","OPC2-4",26021,1356,137144.975,1.637755102,0.496,0.08,149,0.000775940820805248,0.00119533044160116,0.00107415688131639,477.487572,7.1866771193376e-10,3.92637519278811,3.095146664,1.52976302165286,669.589607160087,1.0493409008634,0.0183035924140361
"43","C15e.3","C","Offshore","Porites-cylindrica","C15e","10","3","OPC3-4",21545,1088,149872.896,0.519386835,0.546,0.05,184,0.000551619771383577,0.00118568826126302,0.00132576269462786,459.8089547,1.81768327310632e-09,1.37496454927083,2.55810594,0.843915669867413,3545.7745899828,4.25089463050894,0.132198555524233
"44","C15d.4","C","Offshore","Porites-cylindrica","C15d","10","4","OPC4-4",22208,872,223725.194,0.578947368,0.52,0.05,181,0.000776937658163862,0.00127856681474966,0.00153852573721475,329.5119315,2.23563729941248e-09,1.94196948132918,2.384684349,0.768780889639766,544.770666652139,1.28456250114441,0.115122164426719
"45","C15d.5","C","Offshore","Porites-cylindrica","C15d","10","5","OPC5-4",22078,1334,127626.138,1.644094488,0.488,0.04,175,0.000678850217917065,0.00143211882189044,0.00132345447282731,449.4936052,1.43340742695199e-09,0.161867713224196,2.612607331,1.73605848463421,1142.53175039001,2.06868096833374,0.885542520123603
"46","C15e.6","C","Offshore","Porites-cylindrica","C15e","10","6","OPC6-4",19864,1275,162470.719,0.555455365,0.555,0.04,201,0.00102204009604293,0.00103326633149887,0.00112397155239095,498.3634931,1.85463378995674e-09,2.20614651639646,2.620456261,1.10233937358199,3330.34611352814,2.84434312929046,0.0840666644836497
"47","C15d.7","C","Offshore","Porites-cylindrica","C15d","10","7","OPC7-4",22206,968,215377.239,1.12173913,0.496,0.04,178,0.000440866176988275,0.000913370623966359,0.00106961978055051,484.6880322,1.87903941652023e-09,1.48077900224145,2.689222522,1.08638815817081,554.483164136572,0.638794653573196,0.12689533101671
"48","C15d.8","C","Offshore","Porites-cylindrica","C15d","10","8","OPC8-4",22927,1066,152171.294,1.184210526,0.538,0.07,161,0.000840005801399164,0.000927530185297883,0.0013238484220913,448.6362905,1.77383354276934e-09,1.95833479360746,2.316968126,NA,NA,NA,0.0905786665568941
"49","C15c.1","T","Nikko","Porites-cylindrica","C15c","10","1","NPC1-5",22169,1037,264456.7095,1.184174625,0.481,0.04,192,0.000239658990949333,0.000963798997432627,0.000539502318446606,444.214678,2.72482337814082e-09,1.2964876093412,3.963982499,0.806242117870861,458.48560348622,1.03423314620973,0.210169642849532
"50","C15c.2","T","Nikko","Porites-cylindrica","C15c","10","2","NPC2-5",20328,911,397124.145,0.421838178,0.445,0.05,192,0.000514175018121821,0.000656319101289059,0.000424070364713497,454.6326175,2.08191206936624e-09,0.888390337023276,3.972589408,1.23403547735092,790.213866249666,1.77975441813285,0.234346545949846
"51","C15c.3","T","Nikko","Porites-cylindrica","C15c","10","3","NPC3-5",21029,1041,465328.0215,0.309131737,0.474,0.04,194,0.000263569042793691,0.00102078799155626,0.000565891735873264,662.9704664,2.01792049845755e-09,4.24945525285677,1.553531822,0.70927425617835,624.393782684415,0.630067205387767,0.0474865689455364
"52","C15c.4","T","Nikko","Porites-cylindrica","C15c","10","4","NPC4-5",21446,1002,166688.0625,0.77054429,0.51,0.06,170,0.000195577536360307,0.0007423478533847,0.000503723931326633,474.4281923,1.08884571706544e-09,2.72915362340004,4.092929297,1.4641845137819,581.017499964245,0.862766591946907,0.0398968276365819
